# Generated by ChargePol,,,,,,,,
#charge (pos/neg), time (UT sec), bottom height of layer (km), depth of layer (km), x distance from LMA center (km), y distance from LMA center (km), longitude, latitude,
charge,time,zmin,zwidth,x,y,lon,lat,Date
pos,1636.216686,4.26821,2.16731,98.34216,-42.22514,-94.352661,29.379364,4/7/2023
pos,1642.972247,9.94088,2.227061,66.813098,-64.387095,-94.680176,29.179586,4/7/2023
pos,1673.807989,6.61347,2.30715,-9.370387,92.037696,-95.468124,30.589668,4/7/2023
pos,1684.383676,9.02463,3.19284,-43.636546,61.82714,-95.825676,30.317337,4/7/2023
pos,1691.358465,8.95074,2.157779,115.426954,-2.106546,-94.171638,29.741011,4/7/2023
pos,1693.402643,9.53862,2.33293,66.947635,-61.131176,-94.678589,29.208937,4/7/2023
pos,1693.818011,8.54981,2.422271,64.677168,-67.57467,-94.702415,29.150852,4/7/2023
pos,1714.500539,8.83311,2.23587,-28.028411,72.347092,-95.662971,30.412169,4/7/2023
pos,1715.232243,9.04049,1.206189,-20.676198,72.312179,-95.586121,30.411854,4/7/2023
pos,1721.328968,9.20277,1.634221,81.668848,-45.207264,-94.525368,29.352482,4/7/2023
pos,1722.070763,9.39996,1.34261,80.101169,-46.342646,-94.541664,29.342247,4/7/2023
pos,1728.204476,7.79391,1.47877,3.819778,97.749518,-95.329979,30.641157,4/7/2023
pos,1743.342091,12.47188,0.81296,-134.71199,-43.898168,-96.763374,29.364283,4/7/2023
pos,1748.079495,7.76761,1.78685,67.963134,-64.673797,-94.66832,29.177002,4/7/2023
pos,1779.632497,9.4342,2.46378,69.931342,-62.084804,-94.647835,29.20034,4/7/2023
pos,1779.995963,7.90752,0.34334,64.607258,-66.065412,-94.703049,29.164457,4/7/2023
pos,1781.560544,8.6813,1.4972,74.89788,-45.819177,-94.595436,29.346966,4/7/2023
pos,1790.276726,7.69219,1.8354,-18.881898,72.427495,-95.567368,30.412893,4/7/2023
pos,1795.521482,9.62569,3.114869,-118.431671,-18.114882,-96.597794,29.596704,4/7/2023
pos,1825.790221,8.3292,3.53824,121.51486,-2.668524,-94.108498,29.735945,4/7/2023
pos,1826.335029,9.11598,1.711859,91.830021,-46.129576,-94.420357,29.344168,4/7/2023
pos,1827.83174,8.0475,2.65833,-27.473248,75.107894,-95.657242,30.437056,4/7/2023
pos,1838.778266,9.44192,1.516311,89.92734,1.306582,-94.436089,29.771778,4/7/2023
pos,1845.434955,10.20343,2.17282,-109.806132,-3.486736,-96.509865,29.728569,4/7/2023
pos,1872.792776,10.76449,2.24501,-119.654378,-13.677456,-96.610962,29.636705,4/7/2023
pos,1874.629567,9.79961,2.696609,68.182339,-64.875863,-94.666069,29.17518,4/7/2023
pos,1897.642539,8.32825,1.49,2.909442,100.837647,-95.339508,30.668995,4/7/2023
pos,1898.439301,7.08847,2.225589,86.991852,-4.537059,-94.467049,29.719101,4/7/2023
pos,1900.864556,5.10686,1.75433,-44.554494,109.362111,-95.837318,30.745838,4/7/2023
pos,1903.20686,11.00543,2.154601,-131.878429,-38.942139,-96.734665,29.408958,4/7/2023
pos,1954.356516,10.19231,2.28391,-149.51346,-76.164303,-96.912086,29.073421,4/7/2023
pos,1988.876759,10.25889,2.14249,103.258076,-16.303265,-94.299339,29.613035,4/7/2023
pos,1989.273271,9.5989,2.443699,127.036582,17.418385,-94.048782,29.917017,4/7/2023
pos,1989.416425,9.0576,2.37971,94.202618,-41.172701,-94.395393,29.388851,4/7/2023
pos,2007.768053,4.32263,1.99458,-38.342709,63.234625,-95.770447,30.330025,4/7/2023
pos,2024.9211,10.6391,2.437471,144.473007,-1.853487,-93.870049,29.743292,4/7/2023
pos,2029.928933,7.80032,2.994831,-24.583051,76.304636,-95.627052,30.447844,4/7/2023
pos,2030.125638,6.60475,1.35635,-16.943451,75.127571,-95.54715,30.437233,4/7/2023
pos,2032.012251,8.1717,1.388229,-38.727149,78.091075,-95.775017,30.463947,4/7/2023
pos,2033.609505,10.04447,2.86133,103.52441,-22.986911,-94.297218,29.552786,4/7/2023
pos,2046.41849,9.36408,2.0654,73.614197,-59.453494,-94.609627,29.22406,4/7/2023
pos,2059.726707,11.39737,3.17305,-126.912117,-35.805979,-96.68364,29.437229,4/7/2023
pos,2061.026544,3.88401,0.35047,72.330311,-61.867291,-94.623047,29.202301,4/7/2023
pos,2064.145413,9.17335,3.24315,126.760703,-11.40246,-94.055069,29.657213,4/7/2023
pos,2080.395012,8.32186,3.98435,-108.924014,17.458587,-96.502846,29.917379,4/7/2023
